Código IBGE;Município;Região Administrativa;Código RA;Código DRS;DRS;Ano;Área (Em km2);Densidade Demográfica (Habitantes/km2);População;População Urbana;Grau de Urbanização (Em %);Domicílios Particulares Permanentes;Hab./Domicílio
3547809;Santo André;RM de São Paulo;10;10;Grande São Paulo;2020;175,78;3947,36;693.867;693.867;100;240021;2,89
3547908;Santo Antônio da Alegria;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;310,31;21,39;6.637;4.999;75,32;2392;2,77
3548005;Santo Antônio de Posse;RA de Campinas;4;3;Campinas;2020;154,13;148,24;22.849;21.842;95,59;7801;2,93
3548054;Santo Antônio do Aracanguá;RA de Araçatuba;1;7;Araçatuba;2020;1308,43;6,31;8.252;7.174;86,94;2953;2,79
3548104;Santo Antônio do Jardim;RA de Campinas;4;14;São João da Boa Vista;2020;109,96;52,98;5.826;3.806;65,33;1976;2,95
3548203;Santo Antônio do Pinhal;RA de São José dos Campos;15;17;Taubaté;2020;133,01;49,83;6.628;4.631;69,87;2250;2,95
3548302;Santo Expedito;RA de Presidente Prudente;9;2;Presidente Prudente;2020;94,47;31,46;2.972;2.774;93,34;1095;2,71
3548401;Santópolis do Aguapeí;RA de Araçatuba;1;7;Araçatuba;2020;128,03;36,46;4.668;4.555;97,58;1652;2,83
3548500;Santos;RA de Santos;12;13;Baixada Santista;2020;281,03;1525,47;428.703;428.382;99,93;154029;2,78
3548609;São Bento do Sapucaí;RA de São José dos Campos;15;17;Taubaté;2020;252,58;41,69;10.530;5.435;51,61;3688;2,86
3548708;São Bernardo do Campo;RM de São Paulo;10;10;Grande São Paulo;2020;409,53;1982,97;812.086;799.027;98,39;281253;2,89
3548807;São Caetano do Sul;RM de São Paulo;10;10;Grande São Paulo;2020;15,33;9865,88;151.244;151.244;100;54426;2,78
3548906;São Carlos;RA Central;5;8;Araraquara;2020;1136,91;213,41;242.632;232.915;96;86439;2,81
3549003;São Francisco;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;75,58;35,42;2.677;2.198;82,11;1000;2,68
3549102;São João da Boa Vista;RA de Campinas;4;14;São João da Boa Vista;2020;516,4;169,13;87.340;85.046;97,37;31575;2,77
3549201;São João das Duas Pontes;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;129,46;19,13;2.476;1.908;77,06;911;2,72
3549250;São João de Iracema;RA de Araçatuba;1;15;São José do Rio Preto;2020;178,4;10,37;1.850;1.652;89,3;676;2,74
3549300;São João do Pau d'Alho;RA de Presidente Prudente;9;2;Presidente Prudente;2020;117,67;16,87;1.985;1.716;86,45;741;2,68
3549409;São Joaquim da Barra;RA de Franca;6;4;Franca;2020;410,86;122,36;50.274;49.386;98,23;17236;2,92
3549508;São José da Bela Vista;RA de Franca;6;4;Franca;2020;276,95;31,51;8.727;7.961;91,22;2926;2,98
3549607;São José do Barreiro;RA de São José dos Campos;15;17;Taubaté;2020;570,69;7,13;4.070;3.217;79,04;1432;2,84
3549706;São José do Rio Pardo;RA de Campinas;4;14;São João da Boa Vista;2020;419,68;126,78;53.206;49.041;92,17;17967;2,96
3549805;São José do Rio Preto;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;431,94;1037,01;447.924;420.750;93,93;164204;2,73
3549904;São José dos Campos;RA de São José dos Campos;15;17;Taubaté;2020;1099,41;646,4;710.654;696.197;97,97;237466;2,99
3549953;São Lourenço da Serra;RM de São Paulo;10;10;Grande São Paulo;2020;186,46;83,55;15.579;14.499;93,07;5328;2,92
3550001;São Luiz do Paraitinga;RA de São José dos Campos;15;17;Taubaté;2020;617,32;17,12;10.569;6.337;59,96;3800;2,78
3550100;São Manuel;RA de Sorocaba;13;12;Bauru;2020;650,73;60,81;39.574;39.042;98,66;13112;3,02
3550209;São Miguel Arcanjo;RA de Sorocaba;13;6;Sorocaba;2020;930,34;34,4;32.000;24.583;76,82;10761;2,97
3550308;São Paulo;RM de São Paulo;10;10;Grande São Paulo;2020;1521,11;7803,29;11.869.660;11.762.962;99,1;4107161;2,89
3550407;São Pedro;RA de Campinas;4;11;Piracicaba;2020;611,28;55,96;34.208;29.769;87,02;12139;2,82
3550506;São Pedro do Turvo;RA de Marília;8;5;Marília;2020;731,22;10,08;7.369;5.739;77,88;2624;2,81
3550605;São Roque;RA de Sorocaba;13;6;Sorocaba;2020;306,91;284,89;87.435;84.550;96,7;28872;3,03
3550704;São Sebastião;RA de São José dos Campos;15;17;Taubaté;2020;402,4;216,54;87.135;86.153;98,87;31101;2,80
3550803;São Sebastião da Grama;RA de Campinas;4;14;São João da Boa Vista;2020;252,41;47,29;11.936;8.489;71,12;4082;2,92
3550902;São Simão;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;617,25;24,05;14.847;13.710;92,34;5053;2,94
3551009;São Vicente;RA de Santos;12;13;Baixada Santista;2020;148,1;2416,81;357.929;357.253;99,81;120424;2,97
3551108;Sarapuí;RA de Sorocaba;13;6;Sorocaba;2020;352,59;28,67;10.110;8.130;80,42;3462;2,92
3551207;Sarutaiá;RA de Itapeva;7;12;Bauru;2020;141,61;25,75;3.646;3.149;86,37;1242;2,94
3551306;Sebastianópolis do Sul;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;167,85;19,62;3.293;2.810;85,33;1255;2,62
3551405;Serra Azul;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;283,14;43,38;12.282;8.748;71,23;3065;4,01
3551504;Serrana;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;126,05;352,51;44.434;44.183;99,44;14583;3,05
3551603;Serra Negra;RA de Campinas;4;3;Campinas;2020;203,73;134,69;27.440;23.897;87,09;9742;2,82
3551702;Sertãozinho;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;403,09;303,54;122.355;121.772;99,52;41296;2,96
3551801;Sete Barras;RA de Registro;16;9;Registro;2020;1062,7;11,88;12.628;9.143;72,4;4188;3,02
3551900;Severínia;RA de Barretos;2;16;Barretos;2020;140,46;121,93;17.126;16.546;96,61;5861;2,92
3552007;Silveiras;RA de São José dos Campos;15;17;Taubaté;2020;414,78;14,96;6.204;3.339;53,82;2117;2,93
3552106;Socorro;RA de Campinas;4;3;Campinas;2020;449,03;86,37;38.783;27.762;71,58;13787;2,81
3552205;Sorocaba;RA de Sorocaba;13;6;Sorocaba;2020;450,38;1462,2;658.547;651.845;98,98;222040;2,97
3552304;Sud Mennucci;RA de Araçatuba;1;7;Araçatuba;2020;594,74;12,97;7.713;6.644;86,14;2772;2,78
3552403;Sumaré;RA de Campinas;4;3;Campinas;2020;153,47;1845,39;283.212;279.878;98,82;97412;2,91
3552502;Suzano;RM de São Paulo;10;10;Grande São Paulo;2020;206,24;1410,99;291.002;280.758;96,48;93150;3,12
3552551;Suzanápolis;RA de Araçatuba;1;7;Araçatuba;2020;330,59;11,94;3.947;2.634;66,73;1350;2,92
3552601;Tabapuã;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;345,79;34,39;11.892;11.145;93,72;4291;2,77
3552700;Tabatinga;RA Central;5;8;Araraquara;2020;368,6;43,13;15.897;14.361;90,34;5537;2,87
3552809;Taboão da Serra;RM de São Paulo;10;10;Grande São Paulo;2020;20,39;13922,07;283.871;283.871;100;92688;3,06
3552908;Taciba;RA de Presidente Prudente;9;2;Presidente Prudente;2020;607,27;9,97;6.054;5.320;87,88;2118;2,86
3553005;Taguaí;RA de Itapeva;7;12;Bauru;2020;145,33;91,65;13.319;9.542;71,64;4284;3,11
3553104;Taiaçu;RA de Barretos;2;16;Barretos;2020;107,06;56,39;6.037;5.629;93,24;2098;2,88
3553203;Taiúva;RA de Barretos;2;16;Barretos;2020;132,46;47,4;6.278;5.894;93,88;2461;2,55
3553302;Tambaú;RA de Campinas;4;14;São João da Boa Vista;2020;561,79;40,59;22.803;20.834;91,37;7657;2,98
3553401;Tanabi;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;747,22;33,6;25.105;23.378;93,12;9222;2,72
3553500;Tapiraí;RA de Sorocaba;13;6;Sorocaba;2020;755,1;10,2;7.699;5.785;75,14;2521;3,05
3553609;Tapiratiba;RA de Campinas;4;14;São João da Boa Vista;2020;221,89;56,83;12.610;11.298;89,6;4247;2,97
3553658;Taquaral;RA de Ribeirão Preto;11;16;Barretos;2020;53,89;51,05;2.751;2.660;96,69;949;2,90
3553708;Taquaritinga;RA Central;5;8;Araraquara;2020;594,34;91,7;54.499;52.424;96,19;19385;2,81
3553807;Taquarituba;RA de Itapeva;7;12;Bauru;2020;448,52;51,71;23.193;21.137;91,14;7855;2,95
