Código IBGE;Município;Região Administrativa;Código RA;Código DRS;DRS;   Ano   ;Sexo;Idade;População
3527405;Lucélia;RA de Presidente Prudente;9;5;Marília;2020;Homens;60 a 64;560
3527504;Lucianópolis;RA de Bauru;3;12;Bauru;2020;Homens;60 a 64;51
3527603;Luís Antônio;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;60 a 64;280
3527702;Luiziânia;RA de Araçatuba;1;7;Araçatuba;2020;Homens;60 a 64;128
3527801;Lupércio;RA de Marília;8;5;Marília;2020;Homens;60 a 64;83
3527900;Lutécia;RA de Marília;8;5;Marília;2020;Homens;60 a 64;69
3528007;Macatuba;RA de Bauru;3;12;Bauru;2020;Homens;60 a 64;413
3528106;Macaubal;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;223
3528205;Macedônia;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;115
3528304;Magda;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;100
3528403;Mairinque;RA de Sorocaba;13;6;Sorocaba;2020;Homens;60 a 64;1.112
3528502;Mairiporã;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;60 a 64;2.330
3528601;Manduri;RA de Sorocaba;13;12;Bauru;2020;Homens;60 a 64;236
3528700;Marabá Paulista;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;109
3528809;Maracaí;RA de Marília;8;5;Marília;2020;Homens;60 a 64;355
3528858;Marapoama;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;83
3528908;Mariápolis;RA de Presidente Prudente;9;5;Marília;2020;Homens;60 a 64;104
3529005;Marília;RA de Marília;8;5;Marília;2020;Homens;60 a 64;5.687
3529104;Marinópolis;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;65
3529203;Martinópolis;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;614
3529302;Matão;RA Central;5;8;Araraquara;2020;Homens;60 a 64;2.209
3529401;Mauá;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;60 a 64;9.685
3529500;Mendonça;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;140
3529609;Meridiano;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;122
3529658;Mesópolis;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;56
3529708;Miguelópolis;RA de Franca;6;4;Franca;2020;Homens;60 a 64;514
3529807;Mineiros do Tietê;RA de Bauru;3;12;Bauru;2020;Homens;60 a 64;336
3529906;Miracatu;RA de Registro;16;9;Registro;2020;Homens;60 a 64;448
3530003;Mira Estrela;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;109
3530102;Mirandópolis;RA de Araçatuba;1;7;Araçatuba;2020;Homens;60 a 64;692
3530201;Mirante do Paranapanema;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;485
