Código IBGE;Município;Região Administrativa;Código RA;Código DRS;DRS;   Ano   ;Sexo;Idade;População
3500105;Adamantina;RA de Presidente Prudente;9;5;Marília;2020;Homens;00 a 04;882
3500204;Adolfo;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;84
3500303;Aguaí;RA de Campinas;4;14;São João da Boa Vista;2020;Homens;00 a 04;1.218
3500402;Águas da Prata;RA de Campinas;4;14;São João da Boa Vista;2020;Homens;00 a 04;193
3500501;Águas de Lindóia;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;626
3500550;Águas de Santa Bárbara;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;195
3500600;Águas de São Pedro;RA de Campinas;4;11;Piracicaba;2020;Homens;00 a 04;88
3500709;Agudos;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;1.171
3500758;Alambari;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;190
3500808;Alfredo Marcondes;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;94
3500907;Altair;RA de Barretos;2;16;Barretos;2020;Homens;00 a 04;121
3501004;Altinópolis;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;00 a 04;450
3501103;Alto Alegre;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;96
3501152;Alumínio;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;630
3501202;Álvares Florence;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;67
3501301;Álvares Machado;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;664
3501400;Álvaro de Carvalho;RA de Marília;8;5;Marília;2020;Homens;00 a 04;150
3501509;Alvinlândia;RA de Marília;8;5;Marília;2020;Homens;00 a 04;121
3501608;Americana;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;6.484
3501707;Américo Brasiliense;RA Central;5;8;Araraquara;2020;Homens;00 a 04;1.459
3501806;Américo de Campos;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;141
3501905;Amparo;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;1.906
3502002;Analândia;RA de Campinas;4;11;Piracicaba;2020;Homens;00 a 04;149
3502101;Andradina;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;1.605
3502200;Angatuba;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;826
3502309;Anhembi;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;226
3502408;Anhumas;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;115
3502507;Aparecida;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;1.117
3502606;Aparecida d'Oeste;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;102
3502705;Apiaí;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;883
3502754;Araçariguama;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;869
3502804;Araçatuba;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;5.180
3502903;Araçoiaba da Serra;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;1.152
3503000;Aramina;RA de Franca;6;4;Franca;2020;Homens;00 a 04;165
3503109;Arandu;RA de Itapeva;7;12;Bauru;2020;Homens;00 a 04;199
3503158;Arapeí;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;76
3503208;Araraquara;RA Central;5;8;Araraquara;2020;Homens;00 a 04;6.296
3503307;Araras;RA de Campinas;4;11;Piracicaba;2020;Homens;00 a 04;3.751
3503356;Arco-Íris;RA de Marília;8;5;Marília;2020;Homens;00 a 04;48
3503406;Arealva;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;232
3503505;Areias;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;143
3503604;Areiópolis;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;385
3503703;Ariranha;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;279
3503802;Artur Nogueira;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;1.674
3503901;Arujá;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;3.587
3503950;Aspásia;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;44
3504008;Assis;RA de Marília;8;5;Marília;2020;Homens;00 a 04;2.932
3504107;Atibaia;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;4.824
3504206;Auriflama;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;358
3504305;Avaí;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;166
3504404;Avanhandava;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;404
3504503;Avaré;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;2.704
3504602;Bady Bassitt;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;442
3504701;Balbinos;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;37
3504800;Bálsamo;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;220
3504909;Bananal;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;351
3505005;Barão de Antonina;RA de Itapeva;7;12;Bauru;2020;Homens;00 a 04;109
3505104;Barbosa;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;260
3505203;Bariri;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;1.003
3505302;Barra Bonita;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;894
3505351;Barra do Chapéu;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;212
3505401;Barra do Turvo;RA de Registro;16;9;Registro;2020;Homens;00 a 04;314
3505500;Barretos;RA de Barretos;2;16;Barretos;2020;Homens;00 a 04;3.352
3505609;Barrinha;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;00 a 04;1.216
3505708;Barueri;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;11.217
3505807;Bastos;RA de Marília;8;5;Marília;2020;Homens;00 a 04;629
3505906;Batatais;RA de Franca;6;1;Ribeirão Preto;2020;Homens;00 a 04;1.727
3506003;Bauru;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;10.450
3506102;Bebedouro;RA de Barretos;2;16;Barretos;2020;Homens;00 a 04;1.998
3506201;Bento de Abreu;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;93
3506300;Bernardino de Campos;RA de Marília;8;5;Marília;2020;Homens;00 a 04;342
3506359;Bertioga;RA de Santos;12;13;Baixada Santista;2020;Homens;00 a 04;2.711
3506409;Bilac;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;209
3506508;Birigui;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;3.299
3506607;Biritiba Mirim;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;1.180
3506706;Boa Esperança do Sul;RA Central;5;8;Araraquara;2020;Homens;00 a 04;487
3506805;Bocaina;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;390
3506904;Bofete;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;376
3507001;Boituva;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;1.940
3507100;Bom Jesus dos Perdões;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;831
3507159;Bom Sucesso de Itararé;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;175
3507209;Borá;RA de Marília;8;5;Marília;2020;Homens;00 a 04;21
3507308;Boracéia;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;166
3507407;Borborema;RA Central;5;8;Araraquara;2020;Homens;00 a 04;417
3507456;Borebi;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;92
3507506;Botucatu;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;4.370
3507605;Bragança Paulista;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;5.239
3507704;Braúna;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;158
3507753;Brejo Alegre;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;74
3507803;Brodowski;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;00 a 04;726
3507902;Brotas;RA de Campinas;4;12;Bauru;2020;Homens;00 a 04;791
3508009;Buri;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;832
3508108;Buritama;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;478
3508207;Buritizal;RA de Franca;6;4;Franca;2020;Homens;00 a 04;122
3508306;Cabrália Paulista;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;129
3508405;Cabreúva;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;1.835
3508504;Caçapava;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;2.963
3508603;Cachoeira Paulista;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;985
3508702;Caconde;RA de Campinas;4;14;São João da Boa Vista;2020;Homens;00 a 04;593
3508801;Cafelândia;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;539
3508900;Caiabu;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;127
3509007;Caieiras;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;3.415
3509106;Caiuá;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;156
3509205;Cajamar;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;3.050
3509254;Cajati;RA de Registro;16;9;Registro;2020;Homens;00 a 04;1.144
3509304;Cajobi;RA de Barretos;2;16;Barretos;2020;Homens;00 a 04;266
3509403;Cajuru;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;00 a 04;909
3509452;Campina do Monte Alegre;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;196
3509502;Campinas;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;35.110
3509601;Campo Limpo Paulista;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;2.805
3509700;Campos do Jordão;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;1.873
3509809;Campos Novos Paulista;RA de Marília;8;5;Marília;2020;Homens;00 a 04;153
3509908;Cananéia;RA de Registro;16;9;Registro;2020;Homens;00 a 04;465
3509957;Canas;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;196
3510005;Cândido Mota;RA de Marília;8;5;Marília;2020;Homens;00 a 04;864
3510104;Cândido Rodrigues;RA Central;5;8;Araraquara;2020;Homens;00 a 04;68
3510153;Canitar;RA de Marília;8;5;Marília;2020;Homens;00 a 04;194
3510203;Capão Bonito;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;1.687
3510302;Capela do Alto;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;747
3510401;Capivari;RA de Campinas;4;11;Piracicaba;2020;Homens;00 a 04;1.863
3510500;Caraguatatuba;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;4.103
3510609;Carapicuíba;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;14.884
3510708;Cardoso;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;310
3510807;Casa Branca;RA de Campinas;4;14;São João da Boa Vista;2020;Homens;00 a 04;898
3510906;Cássia dos Coqueiros;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;00 a 04;68
3511003;Castilho;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;673
3511102;Catanduva;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;3.121
3511201;Catiguá;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;213
3511300;Cedral;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;230
3511409;Cerqueira César;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;642
3511508;Cerquilho;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;1.400
3511607;Cesário Lange;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;560
3511706;Charqueada;RA de Campinas;4;11;Piracicaba;2020;Homens;00 a 04;574
3511904;Clementina;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;308
3512001;Colina;RA de Barretos;2;16;Barretos;2020;Homens;00 a 04;509
3512100;Colômbia;RA de Barretos;2;16;Barretos;2020;Homens;00 a 04;210
3512209;Conchal;RA de Campinas;4;11;Piracicaba;2020;Homens;00 a 04;983
3512308;Conchas;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;568
3512407;Cordeirópolis;RA de Campinas;4;11;Piracicaba;2020;Homens;00 a 04;797
3512506;Coroados;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;166
3512605;Coronel Macedo;RA de Itapeva;7;12;Bauru;2020;Homens;00 a 04;144
3512704;Corumbataí;RA de Campinas;4;11;Piracicaba;2020;Homens;00 a 04;116
3512803;Cosmópolis;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;2.343
3512902;Cosmorama;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;163
3513009;Cotia;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;9.780
3513108;Cravinhos;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;00 a 04;1.075
3513207;Cristais Paulista;RA de Franca;6;4;Franca;2020;Homens;00 a 04;275
3513306;Cruzália;RA de Marília;8;5;Marília;2020;Homens;00 a 04;58
3513405;Cruzeiro;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;2.582
3513504;Cubatão;RA de Santos;12;13;Baixada Santista;2020;Homens;00 a 04;4.445
3513603;Cunha;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;668
3513702;Descalvado;RA Central;5;8;Araraquara;2020;Homens;00 a 04;864
3513801;Diadema;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;14.814
3513850;Dirce Reis;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;44
3513900;Divinolândia;RA de Campinas;4;14;São João da Boa Vista;2020;Homens;00 a 04;314
3514007;Dobrada;RA Central;5;8;Araraquara;2020;Homens;00 a 04;317
3514106;Dois Córregos;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;1.003
3514205;Dolcinópolis;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;50
3514304;Dourado;RA Central;5;8;Araraquara;2020;Homens;00 a 04;224
3514403;Dracena;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;1.196
3514502;Duartina;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;328
3514601;Dumont;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;00 a 04;278
3514700;Echaporã;RA de Marília;8;5;Marília;2020;Homens;00 a 04;201
3514809;Eldorado;RA de Registro;16;9;Registro;2020;Homens;00 a 04;646
3514908;Elias Fausto;RA de Campinas;4;11;Piracicaba;2020;Homens;00 a 04;551
3514924;Elisiário;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;94
3514957;Embaúba;RA de Barretos;2;15;São José do Rio Preto;2020;Homens;00 a 04;67
3515004;Embu das Artes;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;10.877
3515103;Embu-Guaçu;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;2.403
3515129;Emilianópolis;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;79
3515152;Engenheiro Coelho;RA de Campinas;4;11;Piracicaba;2020;Homens;00 a 04;752
3515186;Espírito Santo do Pinhal;RA de Campinas;4;14;São João da Boa Vista;2020;Homens;00 a 04;1.184
3515194;Espírito Santo do Turvo;RA de Marília;8;5;Marília;2020;Homens;00 a 04;174
3515202;Estrela d'Oeste;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;212
3515301;Estrela do Norte;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;81
3515350;Euclides da Cunha Paulista;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;320
3515400;Fartura;RA de Itapeva;7;12;Bauru;2020;Homens;00 a 04;489
3515509;Fernandópolis;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;1.669
3515608;Fernando Prestes;RA Central;5;15;São José do Rio Preto;2020;Homens;00 a 04;135
3515657;Fernão;RA de Marília;8;5;Marília;2020;Homens;00 a 04;48
3515707;Ferraz de Vasconcelos;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;7.348
3515806;Flora Rica;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;40
3515905;Floreal;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;60
3516002;Flórida Paulista;RA de Presidente Prudente;9;5;Marília;2020;Homens;00 a 04;336
3516101;Florínea;RA de Marília;8;5;Marília;2020;Homens;00 a 04;80
3516200;Franca;RA de Franca;6;4;Franca;2020;Homens;00 a 04;10.945
3516309;Francisco Morato;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;6.936
3516408;Franco da Rocha;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;5.667
3516507;Gabriel Monteiro;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;61
3516606;Gália;RA de Marília;8;5;Marília;2020;Homens;00 a 04;165
3516705;Garça;RA de Marília;8;5;Marília;2020;Homens;00 a 04;1.195
3516804;Gastão Vidigal;RA de Araçatuba;1;15;São José do Rio Preto;2020;Homens;00 a 04;158
3516853;Gavião Peixoto;RA Central;5;8;Araraquara;2020;Homens;00 a 04;144
3516903;General Salgado;RA de Araçatuba;1;15;São José do Rio Preto;2020;Homens;00 a 04;273
3517000;Getulina;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;305
3517109;Glicério;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;148
3517208;Guaiçara;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;409
3517307;Guaimbê;RA de Bauru;3;5;Marília;2020;Homens;00 a 04;185
3517406;Guaíra;RA de Barretos;2;16;Barretos;2020;Homens;00 a 04;1.077
3517505;Guapiaçu;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;585
3517604;Guapiara;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;678
3517703;Guará;RA de Franca;6;4;Franca;2020;Homens;00 a 04;716
3517802;Guaraçaí;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;244
3517901;Guaraci;RA de Barretos;2;16;Barretos;2020;Homens;00 a 04;375
3518008;Guarani d'Oeste;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;47
3518107;Guarantã;RA de Bauru;3;5;Marília;2020;Homens;00 a 04;206
3518206;Guararapes;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;972
3518305;Guararema;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;1.094
3518404;Guaratinguetá;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;3.746
3518503;Guareí;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;413
3518602;Guariba;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;00 a 04;1.324
3518701;Guarujá;RA de Santos;12;13;Baixada Santista;2020;Homens;00 a 04;11.264
3518800;Guarulhos;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;49.977
3518859;Guatapará;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;00 a 04;240
3518909;Guzolândia;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;156
3519006;Herculândia;RA de Marília;8;5;Marília;2020;Homens;00 a 04;301
3519055;Holambra;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;540
3519071;Hortolândia;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;7.608
3519105;Iacanga;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;355
3519204;Iacri;RA de Marília;8;5;Marília;2020;Homens;00 a 04;181
3519253;Iaras;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;195
3519303;Ibaté;RA Central;5;8;Araraquara;2020;Homens;00 a 04;1.208
3519402;Ibirá;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;367
3519501;Ibirarema;RA de Marília;8;5;Marília;2020;Homens;00 a 04;244
3519600;Ibitinga;RA Central;5;8;Araraquara;2020;Homens;00 a 04;1.757
3519709;Ibiúna;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;2.612
3519808;Icém;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;285
3519907;Iepê;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;254
3520004;Igaraçu do Tietê;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;762
3520103;Igarapava;RA de Franca;6;4;Franca;2020;Homens;00 a 04;874
3520202;Igaratá;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;324
3520301;Iguape;RA de Registro;16;9;Registro;2020;Homens;00 a 04;962
3520400;Ilhabela;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;1.247
3520426;Ilha Comprida;RA de Registro;16;9;Registro;2020;Homens;00 a 04;361
3520442;Ilha Solteira;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;661
3520509;Indaiatuba;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;7.498
3520608;Indiana;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;136
3520707;Indiaporã;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;115
3520806;Inúbia Paulista;RA de Presidente Prudente;9;5;Marília;2020;Homens;00 a 04;117
3520905;Ipaussu;RA de Marília;8;5;Marília;2020;Homens;00 a 04;472
3521002;Iperó;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;1.115
3521101;Ipeúna;RA de Campinas;4;11;Piracicaba;2020;Homens;00 a 04;253
3521150;Ipiguá;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;151
3521200;Iporanga;RA de Itapeva;7;9;Registro;2020;Homens;00 a 04;179
3521309;Ipuã;RA de Franca;6;4;Franca;2020;Homens;00 a 04;544
3521408;Iracemápolis;RA de Campinas;4;11;Piracicaba;2020;Homens;00 a 04;732
3521507;Irapuã;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;214
3521606;Irapuru;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;150
3521705;Itaberá;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;584
3521804;Itaí;RA de Itapeva;7;12;Bauru;2020;Homens;00 a 04;910
3521903;Itajobi;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;343
3522000;Itaju;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;102
3522109;Itanhaém;RA de Santos;12;13;Baixada Santista;2020;Homens;00 a 04;3.816
3522158;Itaoca;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;108
3522208;Itapecerica da Serra;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;6.659
3522307;Itapetininga;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;5.454
3522406;Itapeva;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;3.364
3522505;Itapevi;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;9.869
3522604;Itapira;RA de Campinas;4;14;São João da Boa Vista;2020;Homens;00 a 04;1.892
3522653;Itapirapuã Paulista;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;174
3522703;Itápolis;RA Central;5;8;Araraquara;2020;Homens;00 a 04;1.121
3522802;Itaporanga;RA de Itapeva;7;12;Bauru;2020;Homens;00 a 04;512
3522901;Itapuí;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;439
3523008;Itapura;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;144
3523107;Itaquaquecetuba;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;14.582
3523206;Itararé;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;1.701
3523305;Itariri;RA de Registro;16;9;Registro;2020;Homens;00 a 04;597
3523404;Itatiba;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;3.562
3523503;Itatinga;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;835
3523602;Itirapina;RA de Campinas;4;11;Piracicaba;2020;Homens;00 a 04;496
3523701;Itirapuã;RA de Franca;6;4;Franca;2020;Homens;00 a 04;200
3523800;Itobi;RA de Campinas;4;14;São João da Boa Vista;2020;Homens;00 a 04;210
3523909;Itu;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;5.722
3524006;Itupeva;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;2.160
3524105;Ituverava;RA de Franca;6;4;Franca;2020;Homens;00 a 04;1.175
3524204;Jaborandi;RA de Barretos;2;16;Barretos;2020;Homens;00 a 04;209
3524303;Jaboticabal;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;00 a 04;2.029
3524402;Jacareí;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;7.676
3524501;Jaci;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;200
3524600;Jacupiranga;RA de Registro;16;9;Registro;2020;Homens;00 a 04;592
3524709;Jaguariúna;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;1.856
3524808;Jales;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;1.168
3524907;Jambeiro;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;205
3525003;Jandira;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;4.331
3525102;Jardinópolis;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;00 a 04;1.397
3525201;Jarinu;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;1.075
3525300;Jaú;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;4.385
3525409;Jeriquara;RA de Franca;6;4;Franca;2020;Homens;00 a 04;99
3525508;Joanópolis;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;365
3525607;João Ramalho;RA de Marília;8;2;Presidente Prudente;2020;Homens;00 a 04;143
3525706;José Bonifácio;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;1.064
3525805;Júlio Mesquita;RA de Marília;8;5;Marília;2020;Homens;00 a 04;163
3525854;Jumirim;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;98
3525904;Jundiaí;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;12.182
3526001;Junqueirópolis;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;560
3526100;Juquiá;RA de Registro;16;9;Registro;2020;Homens;00 a 04;686
3526209;Juquitiba;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;1.172
3526308;Lagoinha;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;136
3526407;Laranjal Paulista;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;904
