Ano,Trimestre,Data do Anuncio,Empresa alvo do investimento,Empresa(s) investidora(s),Real (em milhoes),Dolar (em milhoes),Valor Informado,Municipio,Regiao,Descricao do investimento,CNAE Empresa alvo do investimento,CNAE Empresa(s) investidora(s),Tipo Investimento,Periodo
2017,1,30/03/2017,Hirota Food Express,Supermercado Hirota,1,0.32,Sim,Sao Paulo,RM Sao Paulo,Abertura loja de comida pronta com predominancia da culinaria japonesa na rua Teodoro Sampaio,"4712-1 - Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - minimercados, mercearias e armazens","4711-3 - Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - hipermercados e supermercados",Implantacao,2017 - 2017
2017,1,30/03/2017,Hirota Food Express,Supermercado Hirota,1,0.32,Sim,Sao Paulo,RM Sao Paulo,Abertura loja de comida pronta com predominancia da culinaria japonesa na rua Cardoso de Melo,"4712-1 - Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - minimercados, mercearias e armazens","4711-3 - Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - hipermercados e supermercados",Implantacao,2017 - 2017
2017,1,29/03/2017,Jilo do Periquito,PDI Comercio de Alimentos,NA,NA,Nao,Sao Paulo,RM Sao Paulo,Reabertura bar e restaurante especializado em salgadinhos depois de passar por remodelacao e mudanca de nome.,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,Ampliacao/Modernizacao,2017 - 2017
2017,1,31/03/2017,Padaria da Esquina,Padaria da Esquina,1,0.32,Sim,Sao Paulo,RM Sao Paulo,Inauguracao padaria  especializada em paes e doces tipicos lusitanos,"4721-1 - Comercio varejista de produtos de padaria, laticinio, doces, balas e semelhantes","4721-1 - Comercio varejista de produtos de padaria, laticinio, doces, balas e semelhantes",Implantacao,2011 - 2016
2017,1,31/03/2017,Oak Berry,Oakberry 1 Comercio de Acai,0.14,0.04,Sim,Sao Paulo,RM Sao Paulo,Inauguracao quiosque especializado em acai no Shopping Cidade Sao Paulo,5612-1 - Servicos ambulantes de alimentacao,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,Implantacao,2016 - 2016
2017,1,21/03/2017,Abbraccio Cucina Italiana,Outback Steakhouse Restaurantes Brasil,NA,NA,Nao,Sao Paulo,RM Sao Paulo,Inauguracao restaurante tipo italiano no Shopping Center 3,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,Implantacao,2016 - 2017
2017,1,03/01/2017,Polo Wear,Polo Wear Contagem Comercio de Confeccoes,NA,NA,Nao,Taboao da Serra,RM Sao Paulo,"Inauguracao loja de moda feminina, masculina, infanto-juvenil e esporte no Taboao Plaza Outlet",4781-4 - Comercio varejista de artigos do vestuario e acessorios,4753-9 - Comercio varejista especializado de eletrodomesticos e equipamentos de audio e video,Implantacao,2016 - 2016
2016,4,02/12/2016,Elektro,Elektro Eletricidade e Servicos,0.7,0.21,Sim,Inter-regionais,Inter-regionais,Automatizacao rede eletrica com moderna tecnologia,3514-0 - Distribuicao de energia eletrica,3514-0 - Distribuicao de energia eletrica,Ampliacao/Modernizacao,2016 - 2016
2016,4,21/12/2016,Companhia Paulista de Forca e Luz - CPFL,Companhia Paulista de Forca e Luz,22.2,6.62,Sim,Inter-regionais,Inter-regionais,Ampliacao rede eletrica modernizacao do sistema eletrico e instalacao de novos medidores,3514-0 - Distribuicao de energia eletrica,3514-0 - Distribuicao de energia eletrica,Ampliacao,2016 - 2016
2016,4,27/12/2016,Auto Posto Pitangueiras,Auto Posto Pitangueiras Aracatuba,0.1,0.03,Sim,Aracatuba,RA Aracatuba,Reforma posto de abastecimento para oferecer gas natural veicular,4731-8 - Comercio varejista de combustiveis para veiculos automotores,4731-8 - Comercio varejista de combustiveis para veiculos automotores,Ampliacao,2015 - 2016
