Ano;Trimestre;Data do Anúncio;Empresa alvo do investimento;Empresa(s) investidora(s);Real (em milhões);Dólar (em milhões);Valor Informado;Município;Região;Descrição do investimento;CNAE Empresa alvo do investimento;CNAE Empresa(s) investidora(s);Tipo Investimento;Período
"2018";"2";"16/05/2018";"Praiamar Corporate";"Miramar Administração e Comércio";"60,00";"16,50";"Sim";"Santos";"RA Santos";"Instalação complexo de 2 torres para uso residencial e salas comerciais centro de convenções e restaurante";"6822-6 - Gestão e administração da propriedade imobiliária";"4789-0 - Comércio varejista de outros produtos novos não especificados anteriormente";"Implantação";"2015 - 2018"
"2018";"2";"08/06/2018";"Sistema de Crédito Cooperativo - Sicredi";"Cooperativa de Crédito de Livre Admissão de Associados Pioneira da Serra Gaúcha Sicredi Pioneira-RS";"...";"...";"Não";"Fernandópolis";"RA São José do Rio Preto";"Inauguração agência da cooperativa de crédito";"6424-7 - Crédito cooperativo";"6424-7 - Crédito cooperativo";"Ampliação";"2018 - 2018"
"2018";"2";"08/06/2018";"Sistema de Crédito Cooperativo - Sicredi";"Cooperativa de Crédito de Livre Admissão de Associados Pioneira da Serra Gaúcha Sicredi Pioneira-RS";"...";"...";"Não";"Jales";"RA São José do Rio Preto";"Inauguração agência da cooperativa de crédito";"6424-7 - Crédito cooperativo";"6424-7 - Crédito cooperativo";"Ampliação";"2018 - 2018"
"2018";"2";"08/06/2018";"Sistema de Crédito Cooperativo - Sicredi";"Cooperativa de Crédito de Livre Admissão de Associados Pioneira da Serra Gaúcha Sicredi Pioneira-RS";"...";"...";"Não";"Santa Fé do Sul";"RA São José do Rio Preto";"Inauguração agência da cooperativa de crédito";"6424-7 - Crédito cooperativo";"6424-7 - Crédito cooperativo";"Ampliação";"2018 - 2018"
"2018";"2";"27/04/2018";"Casas Bahia";"Casas Bahia Comercial";"...";"...";"Não";"São José do Rio Preto";"RA São José do Rio Preto";"Inauguração loja de móveis, eletrodomésticos, informática, celulares e utilidades domésticas no formato Smart no Shopping Cidade Norte";"4753-9 - Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo";"6822-6 - Gestão e administração da propriedade imobiliária";"Implantação";"2017 - 2018"
"2018";"2";"15/05/2018";"Max Atacadista";"Irmãos Muffato Cia.";"50,00";"13,75";"Sim";"São José do Rio Preto";"RA São José do Rio Preto";"Inauguração atacadista em formato de atacarejo, contando com placas solares para geração de energia elétrica e eletroposto para abastecimento de carros elétricos e híbridos";"4691-5 - Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios";"4691-5 - Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios";"Implantação";"2017 - 2018"
"2018";"2";"04/06/2018";"Fórmula Animal";"Fórmula Animal";"0,15";"0,04";"Sim";"São José do Rio Preto";"RA São José do Rio Preto";"Inauguração franquia especializada em medicamentos para animais";"4771-7 - Comércio varejista de produtos farmacêuticos para uso humano e veterinário";"4771-7 - Comércio varejista de produtos farmacêuticos para uso humano e veterinário";"Implantação";"2017 - 2018"
"2018";"2";"12/06/2018";"Tereos";"Tereos Internacional";"...";"...";"Não";"São José do Rio Preto";"RA São José do Rio Preto";"Instalação centro de Serviços de Negócios de gestão administrativa";"1071-6 - Fabricação de açúcar em bruto";"6463-8 - Outras sociedades de participação, exceto holdings";"Implantação";"2018 - 2018"
"2018";"2";"18/05/2018";"Havan";"Havan Lojas de Departamentos";"40,00";"11,00";"Sim";"Votuporanga";"RA São José do Rio Preto";"Construção loja de departamentos, eletrodomésticos e equipamentos de áudio e vídeo às margens da rodovia Euclides da Cunha";"4713-0 - Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios";"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados";"Implantação";"2018 - 2018"
"2018";"2";"23/05/2018";"Viva La Festa";"Viva La Festa";"...";"...";"Não";"Votuporanga";"RA São José do Rio Preto";"Inauguração loja de artigos de decoração, cenografia, aluguel de peças para festa";"7729-2 - Aluguel de objetos pessoais e domésticos não especificados anteriormente";"4789-0 - Comércio varejista de outros produtos novos não especificados anteriormente";"Implantação";"2017 - 2018"
"2018";"2";"31/05/2018";"O Boticário";"O Boticário";"0,21";"0,06";"Sim";"Votuporanga";"RA São José do Rio Preto";"Reinauguração loja  franqueada de perfumes, loções, cremes, maquiagens e linha de tratamento corporal";"4772-5 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal";"4772-5 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal";"Ampliação/Modernização";"2018 - 2018"
"2018";"2";"07/06/2018";"Unifev";"Fundação Educacional de Votuporanga";"0,50";"0,13";"Sim";"Votuporanga";"RA São José do Rio Preto";"Reforma centro universitário e reestruturação do bloco 6 do Campus Centro";"8532-5 - Educação superior - graduação e pós-graduação";"8532-5 - Educação superior - graduação e pós-graduação";"Ampliação/Modernização";"2018 - 2018"
"2018";"2";"19/06/2018";"Unifev";"Fundação Educacional de Votuporanga";"0,14";"0,04";"Sim";"Votuporanga";"RA São José do Rio Preto";"Construção consultório médico na Associação Beneficente Irmão Mariano Dias";"8630-5 - Atividades de atenção ambulatorial executadas por médicos e odontólogos";"8532-5 - Educação superior - graduação e pós-graduação";"Implantação";"2018 - 2018"
"2018";"2";"21/06/2018";"Influx English School";"Influx English School";"...";"...";"Não";"Votuporanga";"RA São José do Rio Preto";"Abertura franquia de escola de ensino de inglês";"8593-7 - Ensino de idiomas";"8593-7 - Ensino de idiomas";"Implantação";"2018 - 2018"
"2018";"2";"30/06/2018";"Burger King";"Burger King do Brasil Assessoria a Restaurantes";"2,90";"0,77";"Sim";"Votuporanga";"RA São José do Rio Preto";"Abertura restaurante de fast food";"5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"Implantação";"2018 - 2018"
"2018";"2";"24/05/2018";"Drogasil";"Raia Drogasil";"...";"...";"Não";"Caçapava";"RA São José dos Campos";"Inauguração drogaria varejista de produtos farmacêuticos e cosméticos";"4771-7 - Comércio varejista de produtos farmacêuticos para uso humano e veterinário";"4771-7 - Comércio varejista de produtos farmacêuticos para uso humano e veterinário";"Implantação";"2018 - 2018"
"2018";"2";"03/05/2018";"Euro Colchões";"Gávea Colchões Comércio de Móveis";"0,20";"0,06";"Sim";"Guaratinguetá";"RA São José dos Campos";"Abertura loja franqueada de colchões";"4754-7 - Comércio varejista especializado de móveis, colchoaria e artigos de iluminação";"4754-7 - Comércio varejista especializado de móveis, colchoaria e artigos de iluminação";"Implantação";"2017 - 2018"
"2018";"2";"26/04/2018";"NovaDutra";"Concessionária de Rodovias Presidente Dutra";"10,20";"2,99";"Sim";"Jacareí";"RA São José dos Campos";"Construção acesso  da rodovia Presidente Dutra - BR 116 à Avenida Castelo Branco, no km 162,";"5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados";"5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados";"Ampliação";"2018 - 2019"
"2018";"2";"13/06/2018";"NovaDutra";"Concessionária de Rodovias Presidente Dutra";"0,90";"0,24";"Sim";"Lorena";"RA São José dos Campos";"Modernização viaduto de acesso a cidade, localizado no km 52,7 da pista sentido São Paulo da via Dutra";"5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados";"5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados";"Ampliação/Modernização";"2018 - 2018"
"2018";"2";"03/05/2018";"Euro Colchões";"Gávea Colchões Comércio de Móveis";"0,20";"0,06";"Sim";"São José dos Campos";"RA São José dos Campos";"Abertura loja franqueado de colchões no Shopping Colinas";"4754-7 - Comércio varejista especializado de móveis, colchoaria e artigos de iluminação";"4754-7 - Comércio varejista especializado de móveis, colchoaria e artigos de iluminação";"Implantação";"2017 - 2018"
"2018";"2";"11/05/2018";"Óticas Diniz";"Arcanjo Centro Óptico";"0,20";"0,06";"Sim";"São José dos Campos";"RA São José dos Campos";"Abertura ótica  franqueada do tipo prime no Colinas Shopping";"4774-1 - Comércio varejista de artigos de óptica";"4774-1 - Comércio varejista de artigos de óptica";"Implantação";"2018 - 2018"
"2018";"2";"03/05/2018";"Euro Colchões";"Gávea Colchões Comércio de Móveis";"0,20";"0,06";"Sim";"São José dos Campos";"RA São José dos Campos";"Abertura loja franqueada de colchões";"4754-7 - Comércio varejista especializado de móveis, colchoaria e artigos de iluminação";"4754-7 - Comércio varejista especializado de móveis, colchoaria e artigos de iluminação";"Implantação";"2017 - 2018"
"2018";"2";"19/04/2018";"Sabesp";"Cia. de Saneamento Básico do Estado de São Paulo";"265,70";"77,98";"Sim";"Taubaté";"RA São José dos Campos";"Melhoria sistema sob concessão, da manutenção, ampliação, modernização do serviço de abastecimento de água e tratamento de esgoto, por 30 anos";"3600-6 - Captação, tratamento e distribuição de água";"3600-6 - Captação, tratamento e distribuição de água";"Ampliação";"2017 - 2047"
"2018";"2";"25/04/2018";"Ford";"Ford Motor Company Brasil";"...";"...";"Não";"Taubaté";"RA São José dos Campos";"Modernização linha de produção com a instalação de 30 robôs e uso da tecnologia de rastreamento QR Code na linha de motores, 19 robôs e solda a laser na unidade de transmissões da montadora de veículos";"2910-7 - Fabricação de automóveis, camionetas e utilitários";"2910-7 - Fabricação de automóveis, camionetas e utilitários";"Ampliação/Modernização";"2018 - 2018"
"2018";"2";"17/06/2018";"Sun Mobi";"Compartsol Cooperativa de Geração Compartilhada";"0,48";"0,13";"Sim";"Araçoiaba da Serra";"RA Sorocaba";"Ampliação usina solar fotovoltaica para geração de energia elétrica";"3511-5 - Geração de energia elétrica";"6424-7 - Crédito cooperativo";"Ampliação";"2018 - 2018"
"2018";"2";"13/06/2018";"Melitta";"Melitta do Brasil Indústria e Comércio";"...";"...";"Não";"Avaré";"RA Sorocaba";"Instalação linha de produção de cápsulas de café";"1082-1 - Fabricação de produtos à base de café";"1081-3 - Torrefação e moagem de café";"Ampliação";"2017 - 2018"
"2018";"2";"18/04/2018";"Puma Automóveis";"Sociedade de Automóveis Mesgaferre";"250,00";"73,37";"Sim";"Botucatu";"RA Sorocaba";"Construção fábrica de automóveis e o Centro de Pesquisa e Desenvolvimento";"2910-7 - Fabricação de automóveis, camionetas e utilitários";"4511-1 - Comércio a varejo e por atacado de veículos automotores";"Implantação";"2019 - 2019"
"2018";"2";"15/05/2018";"São Roque Supermercados";"Super Mercado São Roque";"...";"...";"Não";"Ibiúna";"RA Sorocaba";"Reforma supermercado e instalação de caixas de autoatendimento";"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados";"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados";"Ampliação/Modernização";"... - 2018"
"2018";"2";"28/06/2018";"Catarina Fashion Outlet";"JHSF";"...";"...";"Não";"São Roque";"RA Sorocaba";"Ampliação shopping center outlet";"6822-6 - Gestão e administração da propriedade imobiliária";"6462-0 - Holdings de instituições não-financeiras";"Ampliação";"2018 - 2018"
"2018";"2";"28/06/2018";"Gucci";"Gucci Brasil importação e Exportação";"...";"...";"Não";"São Roque";"RA Sorocaba";"Abertura loja em modelo outlet";"4781-4 - Comércio varejista de artigos do vestuário e acessórios";"4781-4 - Comércio varejista de artigos do vestuário e acessórios";"Implantação";"... - 2018"
"2018";"2";"06/06/2018";"Consórcio Sorocaba - Consor";"Consórcio Sorocaba";"16,00";"4,24";"Sim";"Sorocaba";"RA Sorocaba";"Aquisição ônibus de 14 ônibus articulados para transporte de passageiros";"4921-3 - Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana";"4921-3 - Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana";"Ampliação/Modernização";"... - 2017"
"2018";"2";"18/05/2018";"Tramontina Store";"Tramontina Store Comércio Varejista";"...";"...";"Não";"Votorantim";"RA Sorocaba";"Inauguração loja de artigos com estilo e sofisticação em decoração e soluções para a casa  no Shopping Iguatemi Esplanada";"4759-8 - Comércio varejista de artigos de uso doméstico não especificados anteriormente";"8211-3 - Serviços combinados de escritório e apoio administrativo";"Implantação";"... - 2018"
"2018";"2";"02/04/2018";"Azul Linhas Aéreas";"Azul Linhas Aéreas Brasileiras";"...";"...";"Não";"Barueri";"RM São Paulo";"Aquisição aeronave(s) Airbus modelo A330-900 e oito A320 neos no bairro Alphaville";"5111-1 - Transporte aéreo de passageiros regular";"5111-1 - Transporte aéreo de passageiros regular";"Ampliação";"2018 - 2018"
"2018";"2";"13/04/2018";"Walmart";"Walmart Brasil";"...";"...";"Não";"Barueri";"RM São Paulo";"Instalação sistema  de informática para caixas de autoatendimento e self checkout, no hipermercado";"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados";"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados";"Ampliação/Modernização";"... - 2018"
"2018";"2";"09/05/2018";"Alelo";"Companhia Brasileira de Soluções e Serviços";"300,00";"82,51";"Sim";"Barueri";"RM São Paulo";"Desenvolvimento sistema  Veloe para pagamentos para mobilidade urbana da empresa de cartões de benefícios";"8299-7 - Atividades de serviços prestados principalmente às empresas não especificadas anteriormente";"8299-7 - Atividades de serviços prestados principalmente às empresas não especificadas anteriormente";"Ampliação/Modernização";"... - 2018"
"2018";"2";"12/04/2018";"Serviço Social da Indústria - Sesi";"Serviço Social da Indústria - Sesi";"12,90";"3,79";"Sim";"Diadema";"RM São Paulo";"Inauguração espaço interativos, como pista de skate, academia ao ar livre e sala de meditação";"9329-8 - Atividades de recreação e lazer não especificadas anteriormente";"8599-6 - Atividades de ensino não especificadas anteriormente";"Ampliação/Modernização";"... - 2018"
"2018";"2";"02/04/2018";"Sabesp";"Cia. de Saneamento Básico do Estado de São Paulo";"300,00";"88,05";"Sim";"Diversos municípios-RMSP";"RM São Paulo";"Construção estação elevatória 34 unidades para bombeamento de esgoto, assentamento de 51 quilômetros de redes coletoras e coletores-tronco até a estação de tratamento de esgotos - ETE ABC";"3701-1 - Gestão de redes de esgoto";"3600-6 - Captação, tratamento e distribuição de água";"Ampliação";"2018 - 2021"
"2018";"2";"19/04/2018";"B3";"B3 Brasil, Bolsa, Balcão";"1.425,00";"418,23";"Sim";"Diversos municípios-RMSP";"RM São Paulo";"Reestruturação infraestrutura de tecnologia da informação (TI) da empresa de serviços de negociação da bolsa de valores";"6611-8 - Administração de bolsas e mercados de balcão organizados";"6611-8 - Administração de bolsas e mercados de balcão organizados";"Ampliação/Modernização";"2013 - 2018"
"2018";"2";"26/04/2018";"Giga Atacado";"Giga Br Distribuidora e Atacadista";"...";"...";"Não";"Guarulhos";"RM São Paulo";"Construção atacado de mercearia,alimentos,perecíveis,embalagens,bazar,higiene,bebidas e limpeza";"4691-5 - Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios";"4691-5 - Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios";"Implantação";"2018 - 2018"
"2018";"2";"09/05/2018";"Casa de Bolos";"Casa de Bolos Guarulhos";"0,20";"0,06";"Sim";"Guarulhos";"RM São Paulo";"Reinauguração loja especializada em bolos caseiros";"4721-1 - Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes";"1091-1 - Fabricação de produtos de panificação";"Ampliação/Modernização";"... - 2018"
"2018";"2";"12/05/2018";"Business Monaco Guarulhos";"Mpi Empreendimento Imobiliário";"39,87";"10,97";"Sim";"Guarulhos";"RM São Paulo";"Inauguração centro empresarial de alto padrão";"6822-6 - Gestão e administração da propriedade imobiliária";"6810-2 - Atividades imobiliárias de imóveis próprios";"Implantação";"2015 - 2018"
"2018";"2";"30/05/2018";"iPlace";"iPlace";"...";"...";"Não";"Guarulhos";"RM São Paulo";"Abertura loja de revenda de iPad, iPod, iPhone e acessórios no Parque Shopping Maia";"4752-1 - Comércio varejista especializado de equipamentos de telefonia e comunicação";"4752-1 - Comércio varejista especializado de equipamentos de telefonia e comunicação";"Implantação";"2018 - 2018"
"2018";"2";"13/06/2018";"Hospital Cema";"Cema Hospital Especializado";"...";"...";"Não";"Guarulhos";"RM São Paulo";"Inauguração unidade ambulatorial especializada em oftalmologia e otorrinolaringologia no Internacional Shopping Guarulhos";"8630-5 - Atividades de atenção ambulatorial executadas por médicos e odontólogos";"8610-1 - Atividades de atendimento hospitalar";"Implantação";"2018 - 2018"
"2018";"2";"26/06/2018";"Hinode";"Larrus Indústria e Comércio de Cosméticos";"3,00";"0,80";"Sim";"Jandira";"RM São Paulo";"Inauguração espaço interativo instalado na nova fábrica utilizando tecnologia para apresentação do portfólio da marca - Hinode Experience";"2063-1 - Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal";"2063-1 - Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal";"Ampliação/Modernização";"... - 2018"
"2018";"2";"16/05/2018";"Telecom Italia Mobile - TIM";"TIM Celular";"...";"...";"Não";"Mauá";"RM São Paulo";"Instalação rede ultra banda larga fixa chamada de TIM Live Ultrafibra com a tecnologia FTTH (Fiber To The Home, em tradução livre, Fibra Para o Lar)";"6120-5 - Telecomunicações sem fio";"6120-5 - Telecomunicações sem fio";"Ampliação/Modernização";"2018 - 2021"
"2018";"2";"20/04/2018";"Império Tecidos e Aviamentos";"Império Tecidos e Aviamentos";"...";"...";"Não";"Mogi das Cruzes";"RM São Paulo";"Inauguração loja de tecidos, aviamentos e bordados feitos na hora";"4755-5 - Comércio varejista especializado de tecidos e artigos de cama, mesa e banho";"4755-5 - Comércio varejista especializado de tecidos e artigos de cama, mesa e banho";"Implantação";"... - 2018"
"2018";"2";"23/04/2018";"JBS";"JBS";"9,00";"2,64";"Sim";"Osasco";"RM São Paulo";"Ampliação capacidade de produção de hambúrguer no complexo industrial";"1013-9 - Fabricação de produtos de carne";"1011-2 - Abate de reses, exceto suínos";"Ampliação";"2018 - 2018"
"2018";"2";"23/04/2018";"JBS";"JBS";"4,00";"1,17";"Sim";"Osasco";"RM São Paulo";"Ampliação capacidade e produção de hambúrguer no complexo industrial";"1013-9 - Fabricação de produtos de carne";"1011-2 - Abate de reses, exceto suínos";"Ampliação";"2018 - 2018"
"2018";"2";"26/04/2018";"Giga Atacado Compacto";"Giga Br Distribuidora e Atacadista";"...";"...";"Não";"Osasco";"RM São Paulo";"Inauguração atacado de mercearia,alimentos,perecíveis,embalagem,bazar,higiene,bebidas,limpeza na vila dos remédios";"4691-5 - Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios";"4691-5 - Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios";"Implantação";"2017 - 2018"
"2018";"2";"13/06/2018";"Hospital Cema";"Cema Hospital Especializado";"...";"...";"Não";"Osasco";"RM São Paulo";"Inauguração unidade ambulatorial especializada em oftalmologia e otorrinolaringologia";"8630-5 - Atividades de atenção ambulatorial executadas por médicos e odontólogos";"8610-1 - Atividades de atendimento hospitalar";"Implantação";"2018 - 2019"
"2018";"2";"29/05/2018";"Silcon Ambiental";"Silcon Ambiental";"30,00";"8,25";"Sim";"Pirapora do Bom Jesus";"RM São Paulo";"Implantação unidade  de Produção Alternativa de Combustível (Upac), processo que transforma resíduos sólidos em óleo, carvão e gás, sem a geração de rejeitos para disposição em aterros";"3821-1 - Tratamento e disposição de resíduos não-perigosos";"3821-1 - Tratamento e disposição de resíduos não-perigosos";"Implantação";"2009 - 2018"
"2018";"2";"09/04/2018";"Alatur JTB";"Alatur JTB Viagens e Turismo";"6,00";"1,76";"Sim";"Santana de Parnaíba";"RM São Paulo";"Desenvolvimento sistema de gestão de eventos e mobile - PEGE";"7911-2 - Agências de viagens";"7911-2 - Agências de viagens";"Ampliação/Modernização";"2017 - 2019"
"2018";"2";"05/04/2018";"Serviço de Apoio às Micro e Pequenas Empresas - Sebrae";"Serviço de Apoio às Micro e Pequenas Empresas de São Paulo";"5,00";"1,47";"Sim";"Santo André";"RM São Paulo";"Construção espaço para sede regional no Grande ABC para atendimento de apoio aos empresarios";"7020-4 - Atividades de consultoria em gestão empresarial";"7020-4 - Atividades de consultoria em gestão empresarial";"Ampliação";"2018 - 2019"
"2018";"2";"06/04/2018";"Cooperativa de Consumo - Coop";"Cooperativa de Consumo - Coop";"0,60";"0,18";"Sim";"Santo André";"RM São Paulo";"Abertura drogaria em loja de rua na Av. Dom Pedro II";"4771-7 - Comércio varejista de produtos farmacêuticos para uso humano e veterinário";"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados";"Implantação";"2018 - 2018"
"2018";"2";"10/04/2018";"Ilumine-Light";"Ilumine-Light Comércio de Artigos de Iluminação";"0,10";"0,03";"Sim";"Santo André";"RM São Paulo";"Inauguração loja especializada em produtos de Iluminação com led residencial e comercial";"4754-7 - Comércio varejista especializado de móveis, colchoaria e artigos de iluminação";"4649-4 - Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente";"Implantação";"2018 - 2018"
"2018";"2";"20/04/2018";"Daiso";"Daiso Brasil Comércio e Importação";"...";"...";"Não";"Santo André";"RM São Paulo";"Abertura loja de utilidades domésticas e papelaria no Shopping ABC";"4759-8 - Comércio varejista de artigos de uso doméstico não especificados anteriormente";"4649-4 - Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente";"Implantação";"... - 2018"
"2018";"2";"24/04/2018";"Pecorino";"Pecorinox Bar, Restaurante, Tabacaria e Eventos";"0,70";"0,21";"Sim";"Santo André";"RM São Paulo";"Inauguração restaurante  especializado em comida italiana no Shopping ABC";"5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"Implantação";"... - 2018"
"2018";"2";"24/04/2018";"Jangada";"Jangada";"...";"...";"Não";"Santo André";"RM São Paulo";"Abertura restaurante especializado em peixes e frutos do mar no Shopping ABC";"5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"Implantação";"... - 2018"
"2018";"2";"22/05/2018";"Roldão Atacadista";"Roldão Auto Serviço Comércio de Alimentos";"...";"...";"Não";"Santo André";"RM São Paulo";"Abertura atacadista e varejista de produtos para bares,lanchonetes";"4691-5 - Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios";"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados";"Implantação";"2018 - 2018"
"2018";"2";"10/04/2018";"Serviço Social da Indústria - Sesi";"Serviço Social da Indústria - Sesi";"66,20";"19,43";"Sim";"São Bernardo do Campo";"RM São Paulo";"Inauguração escola de ensino fundamental e médio";"8520-1 - Ensino médio";"8599-6 - Atividades de ensino não especificadas anteriormente";"Implantação";"... - 2018"
"2018";"2";"22/04/2018";"Jump Mania";"Jump Mania Entretenimento";"...";"...";"Não";"São Bernardo do Campo";"RM São Paulo";"Abertura parque de diversões especializada em cama elástica no São Bernardo Plaza Shopping";"9321-2 - Parques de diversão e parques temáticos";"7020-4 - Atividades de consultoria em gestão empresarial";"Implantação";"... - 2017"
"2018";"2";"28/04/2018";"Sanko Espumas";"Sankonfort Colchões Indústria e Comércio";"...";"...";"Não";"São Bernardo do Campo";"RM São Paulo";"Mudança fábrica sede de produtos de plástico para fabricação de colchões";"3104-7 - Fabricação de colchões";"3104-7 - Fabricação de colchões";"Implantação";"2017 - 2018"
"2018";"2";"05/05/2018";"Grob";"B Grob do Brasil Ind. Com. Máquinas Operatrizes e Ferramentas";"37,30";"10,26";"Sim";"São Bernardo do Campo";"RM São Paulo";"Ampliação fábrica de máquinas e equipamentos de autopeças para montadoras";"2840-2 - Fabricação de máquinas-ferramenta";"2840-2 - Fabricação de máquinas-ferramenta";"Ampliação";"2016 - 2020"
"2018";"2";"24/05/2018";"Si Señor";"El Camino Foods";"...";"...";"Não";"São Bernardo do Campo";"RM São Paulo";"Inauguração restaurante mexicano";"5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"Ampliação";"2015 - 2018"
"2018";"2";"05/06/2018";"Betto Damasceno Galeria de Arte";"Betto Damasceno";"...";"...";"Não";"São Bernardo do Campo";"RM São Paulo";"Inauguração galeria de arte com espaço para exposições, oficinas e workshops";"4789-0 - Comércio varejista de outros produtos novos não especificados anteriormente";"4789-0 - Comércio varejista de outros produtos novos não especificados anteriormente";"Implantação";"2018 - 2018"
"2018";"2";"06/04/2018";"Cooperativa de Consumo - Coop";"Cooperativa de Consumo - Coop";"1,20";"0,35";"Sim";"São Caetano do Sul";"RM São Paulo";"Abertura drogaria  na Rua Visconde de Inhaúma (2 unidades)";"4771-7 - Comércio varejista de produtos farmacêuticos para uso humano e veterinário";"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados";"Implantação";"2018 - 2018"
"2018";"2";"14/06/2018";"Curaprox";"Curaden Swiss do Brasil";"15,00";"3,98";"Sim";"São Caetano do Sul";"RM São Paulo";"Inauguração sede  contando com centro de distribuição e escritórios";"4618-4 - Representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente";"4693-1 - Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários";"Ampliação";"2015 - 2018"
"2018";"2";"02/04/2018";"Gol Linhas Aéreas";"Gol Linhas Aéreas";"1.120,00";"328,72";"Sim";"São Paulo";"RM São Paulo";"Aquisição aeronaves da Boeing";"5111-1 - Transporte aéreo de passageiros regular";"5111-1 - Transporte aéreo de passageiros regular";"Ampliação";"2018 - 2019"
"2018";"2";"02/04/2018";"Avianca";"OceanAir Linhas Aéreas";"...";"...";"Não";"São Paulo";"RM São Paulo";"Aquisição aeronave(s) dois Airbus A320neo";"5111-1 - Transporte aéreo de passageiros regular";"5111-1 - Transporte aéreo de passageiros regular";"Ampliação";"2018 - 2018"
"2018";"2";"03/04/2018";"Le Postiche";"Le Postiche Megastore";"...";"...";"Não";"São Paulo";"RM São Paulo";"Abertura loja com outlet de bolsas, malas e acessórios para viagem";"4782-2 - Comércio varejista de calçados e artigos de viagem";"4782-2 - Comércio varejista de calçados e artigos de viagem";"Implantação";"2018 - 2018"
"2018";"2";"03/04/2018";"CF Home Decor";"Cavalcante Ferraz Arquitetura Design";"0,10";"0,03";"Sim";"São Paulo";"RM São Paulo";"Inauguração loja showroom de móveis e decoração";"4759-8 - Comércio varejista de artigos de uso doméstico não especificados anteriormente";"7111-1 - Serviços de arquitetura";"Implantação";"2017 - 2017"
"2018";"2";"03/04/2018";"Surf Alive";"Surf Alive Perdizes";"0,50";"0,15";"Sim";"São Paulo";"RM São Paulo";"Abertura loja de roupas, equipamentos e acessórios para surfe";"4781-4 - Comércio varejista de artigos do vestuário e acessórios";"4781-4 - Comércio varejista de artigos do vestuário e acessórios";"Implantação";"2017 - 2018"
"2018";"2";"03/04/2018";"Granel";"VD Casarini Produtos Alimentícios";"0,20";"0,06";"Sim";"São Paulo";"RM São Paulo";"Abertura loja de produtos alimentícios a granel";"4729-6 - Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";"4729-6 - Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";"Implantação";"2017 - 2017"
"2018";"2";"08/04/2018";"Avenues São Paulo";"Avenues São Paulo Educação";"170,36";"50,00";"Sim";"São Paulo";"RM São Paulo";"Instalação escola bilíngue campus paulistano em Cidade Jardim";"8520-1 - Ensino médio";"8511-2 - Educação infantil - creche";"Implantação";"... - 2018"
